职位,薪资,学历,经验,公司,城市,领域,规模,性质,区域,商圈,纬度,经度,技能列表,福利列表,薪资类型,平均薪资（元）
初中高中教师,11-22K,本科,经验不限,闻学行,石家庄,培训/辅导机构,20-99人,未融资,新华区,中华北大街,38.089208,114.483356,学科应试类 培训机构 数理化 英语 大型教育机构经验 认真负责 坐班 中学生 留学生 不坐班 化学 学前儿童/小学生 普通话发音标准 大学/大专生 成人 小班教学（3-25人） 线下教育 线上教育 语文 互联网教育平台使用 文案撰写 外语发音标准 理化生 物理 语数英 社群运营 艺术类专业背景 数学 政史地 一对一教学,"['绩效奖金', '员工旅游', '意外险', '加班补助', '团建聚餐', '补充医疗保险', '节日福利', '交通补助', '保底工资', '五险一金', '底薪加提成', '股票期权', '通讯补贴', '定期体检', '工龄奖', '节假日加班费', '年终奖', '餐补']",月薪,16500.0
【当天出结果】月薪1W+小学助教老师,10-15K,大专,经验不限,猿编程,石家庄,在线教育,10000人以上,D轮及以上,长安区,广安,38.045331,114.506015,培训机构 线上教育 学前儿童/小学生 大班教学（25人以上） 特长兴趣类,"['员工旅游', '五险一金', '定期体检', '餐补', '加班补助', '零食下午茶', '节日福利', '带薪年假', '补充医疗保险', '交通补助', '年终奖']",月薪,12500.0
教师,6-11K,本科,1-3年,高新区赶考电子产...,石家庄,培训/辅导机构,0-20人,,栾城区,开发区,37.965745,114.603265,初中教育 线下授课 线上授课 集体授课 一对一授课 语文 数学 全职,"['有无线网', '节日福利', '全勤奖', '绩效奖金', '生日福利', '交通补助', '免费工装', '保底工资', '夜班补助', '底薪加提成']",月薪,8500.0
初中数学教师,4-7K,本科,1-3年,学识教育,石家庄,培训/辅导机构,0-20人,不需要融资,长安区,建华,38.070427,114.563926,全职 培训机构 线下教育 坐班 教师 小班教学（3-25人） 一对一教学 初中生 高中生 重点学校一线教师 学科相关专业背景 教育工作经验 教师资格证 普通话水平测试等级考试 初中 高中 二级乙等 二级甲等 家教 初中教育 线下授课 数学,"['带薪年假', '五险一金', '年终奖', '全勤奖', '员工旅游']",月薪,5500.0
万元高福利初中数学教师岗,10-13K,本科,1-3年,济宁市兖州区贴心...,济宁,培训/辅导机构,0-20人,,兖州区,贵和,35.557135,116.816506,无,[],月薪,11500.0
托管班辅导老师,3-4K,本科,1-3年,石家庄鸿康中小学...,石家庄,家政服务,0-20人,,长安区,长丰,38.074015,114.53717,全职,[],月薪,3500.0
语文老师,3-8K,本科,1-3年,蓝橡树培训学校,石家庄,培训/辅导机构,0-20人,,鹿泉区,鹿泉区中心城区,38.0835,114.31469,教研 语文 教师资格证 教育培训 语言教育,[],月薪,5500.0
硬笔书法老师,3-6K,本科,经验不限,凯曼文化传播,石家庄,培训/辅导机构,100-499人,A轮,桥西区,维明,38.002077,114.473118,教师 教师资格证,"['年终奖', '全勤奖', '加班补助', '股票期权', '住房补贴', '节日福利']",月薪,4500.0
初高中英语兼职教师,3-8K,大专,1-3年,名师堂学校,石家庄,培训/辅导机构,100-499人,未融资,裕华区,建设南大街,38.027685,114.513018,中学生 不坐班 兼职 线下教育,[],月薪,5500.0
数学老师,8-13K,本科,1-3年,溯淼研学教育,石家庄,培训/辅导机构,20-99人,,,,38.307109,114.381094,教师 大型教育机构经验 坐班 小班教学（3-25人） 培训机构 线下教育,[],月薪,10500.0
教师/老师/综合老师,5-8K,大专,经验不限,河北青年志才教育科技,石家庄,培训/辅导机构,20-99人,不需要融资,,,37.940839,114.526726,教师 教务 坐班 小班教学（3-25人） 培训机构 线下教育 教学管理 大班教学（25人以上）,"['节日福利', '加班补助', '底薪加提成', '工龄奖', '绩效奖金', '团建聚餐', '零食下午茶', '年终奖', '全勤奖', '生日福利', '有无线网', '保底工资']",月薪,6500.0
