职位,薪资,学历,经验,公司,城市,领域,规模,性质,区域,商圈,纬度,经度,技能列表,福利列表,薪资类型,平均薪资（元）
算法工程师,10-15K,本科,1-3年,广东康利达物联,广州,计算机软件,100-499人,已上市,,,23.173956,113.416929,C/C++ 机器学习 图像算法 激光测量传感器 点云与图像处理 其他,"['意外险', '节日福利', '通讯补贴', '团建聚餐', '绩效奖金', '零食下午茶', '生日福利', '年终奖', '带薪年假', '全勤奖', '免费工装', '五险一金', '股票期权', '保底工资']",月薪,12500.0
算法,35-40K,本科,3-5年,某大型机械设备公司,常州,机械设备/机电/重工,100-499人,A轮,,,31.729814,119.591929,无,"['五险一金', '加班补助', '定期体检', '股票期权', '年终奖', '包吃', '节日福利', '带薪年假', '员工旅游', '孝基金']",月薪,37500.0
AI算法工程师,15-20K,本科,3-5年,冀凯河北机电科技公司,石家庄,专用设备,1000-9999人,已上市,裕华区,开发区,38.034013,114.671314,大模型算法 图像算法 通信算法 嵌入式开发 算法工程化经验,"['年终奖', '包吃', '带薪年假', '五险一金', '免费班车', '节日福利', '定期体检']",月薪,17500.0
算法工程师,13-18K,本科,经验不限,广州智算,广州,计算机软件,100-499人,未融资,,,23.16455,113.429084,图像算法 深度学习 Python,"['带薪年假', '五险一金', '零食下午茶', '补充医疗保险', '年终奖', '保底工资', '绩效奖金', '加班补助', '节日福利', '定期体检', '住房补贴', '团建聚餐', '意外险']",月薪,15500.0
推荐算法,30-60K,本科,1-3年,BOSS直聘,北京,人力资源服务,1000-9999人,已上市,朝阳区,太阳宫,39.970243,116.44583,Python Java Scala Hadoop/Hive/Spark TensorFlow/PyTorch 推荐系统相关经验 搜索相关经验 计算机相关专业 深度学习经验 电商/广告算法经验,"['年终奖', '加班补助', '股票期权', '员工旅游', '定期体检', '餐补', '住房补贴', '节日福利', '补充医疗保险', '带薪年假', '交通补助']",月薪,45000.0
AI算法架构师,23-35K,博士,3-5年,科林电气,石家庄,电力/热力/燃气/水利,1000-9999人,已上市,鹿泉区,红旗,37.948941,114.467381,图像算法 通信算法 模型加速/性能优化 规控算法 C/C++ Python Java 嵌入式开发 优秀开源项目经历,"['股票期权', '休息休假', '节日福利', '餐补', '员工旅游', '五险一金']",月薪,29000.0
图像算法,3-4K,大专,经验不限,德鲸未来数据,郑州,人工智能,100-499人,天使轮,中牟县,航空港区,34.55528,113.860838,大模型算法 点云算法 SLAM算法 目标跟踪 图像处理库（OpenCV等）,"['住房补贴', '团建聚餐', '员工旅游']",月薪,3500.0
算法,23-35K,本科,经验不限,快牛智营,成都,企业服务,20-99人,A轮,双流区,华阳,30.515331,104.076536,搜索算法 深度学习 大模型算法 自然语言处理算法 多模态算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 LLM Python,"['年终奖', '餐补', '绩效奖金', '零食下午茶', '节日福利', '带薪年假', '团建聚餐', '五险一金', '员工旅游']",月薪,29000.0
算法负责人,50-70K,本科,5-10年,慢慢买,杭州,电子商务,100-499人,未融资,滨江区,长河,30.187803,120.208371,搜索算法 机器学习 深度学习 大模型算法 算法工程化经验 推荐算法 Python,"['生日福利', '工龄奖', '团建聚餐', '节日福利', '加班补助', '定期体检', '带薪年假', '员工旅游', '五险一金', '年终奖', '全勤奖', '餐补', '股票期权', '零食下午茶']",月薪,60000.0
武汉算法,16-20K,本科,经验不限,柯莱特集团,武汉,计算机软件,1000-9999人,已上市,洪山区,光谷东,30.491728,114.501978,C/C++ 自动驾驶 融合感知算法 SLAM算法 MATLAB Python,"['五险一金', '交通补助', '节日福利']",月薪,18000.0
大模型算法,12-13K,本科,1-3年,深圳云杉智慧科技,西安,互联网,0-20人,,雁塔区,沣惠南路,34.227598,108.878145,无,[],月薪,12500.0
大模型算法,10-15K,本科,1-3年,河南创新研学旅行...,郑州,学术/科研,20-99人,,金水区,郑州东站,34.75964,113.768065,知识图谱自然语言处理,[],月薪,12500.0
图像算法,8-10K,本科,3-5年,河北佳数智华,石家庄,物联网,0-20人,,长安区,广安,38.045064,114.506423,深度学习 大模型算法 人像算法 融合感知算法 多模态算法 Python 模型加速/性能优化,[],月薪,9000.0
推荐算法,60-90K,本科,经验不限,某小型人工智能公司,深圳,人工智能,20-99人,天使轮,,,22.529073,113.943853,无,"['宠物友好', '人体工学座椅', '员工旅游', '定期体检', '团建聚餐', '无限年假']",月薪,75000.0
算法工程师,100-150K,本科,经验不限,某上海中型金融科技公司,上海,证券/期货,100-499人,C轮,,,31.231072,121.516831,C/C++ Python 算法工程化经验,"['员工旅游', '早餐牛奶饮料', '带薪年假', '补充医疗保险', '年终奖', '五险一金', '节日福利', '股票期权', '餐补', '定期体检', '零食下午茶', '加班补助']",月薪,125000.0
算法开发,25-30K,大专,3-5年,中科创达,上海,计算机软件,10000人以上,已上市,闵行区,虹桥,31.198768,121.315161,图像算法 SLAM算法 C/C++ 定位标定算法 opencv,"['五险一金', '年终奖', '定期体检', '员工旅游', '加班补助', '带薪年假', '交通补助', '餐补', '住房补贴', '节日福利', '股票期权', '全勤奖']",月薪,27500.0
推荐算法,30-60K,本科,经验不限,腾讯,广州,互联网,10000人以上,不需要融资,海珠区,琶洲,23.099582,113.325492,电商/广告算法经验 推荐系统相关经验 TensorFlow/PyTorch,"['交通补助', '股票期权', '补充医疗保险', '带薪年假', '节日福利', '定期体检', '年终奖', '免费早晚餐', '五险一金', '免费班车', '公仔周边活动', '住房补贴', '餐补', '员工旅游', '零食下午茶', '包吃', '免费健身房']",月薪,45000.0
算法工程师（算法移植/GPU）,18-30K,本科,3-5年,扬铭科技,石家庄,通信/网络设备,100-499人,B轮,鹿泉区,经济开发区,38.056063,114.361255,C/C++ 通信算法 其他,"['五险一金', '年终奖', '股票期权', '带薪年假', '节日福利']",月薪,24000.0
算法工程师,12-20K,本科,3-5年,徐工汉云,徐州,互联网,100-499人,B轮,贾汪区,高铁站,34.268326,117.289245,强化学习 C/C++ Java 算法工程化经验 多模态算法 机器学习算法 算法设计 视觉图像算法 深度学习算法 Python,"['定期体检', '五险一金', '带薪年假', '年终奖']",月薪,16000.0
图像算法,29-40K,本科,3-5年,大连某小型人力资源服务公司,哈尔滨,人力资源服务,20-99人,,,,45.795258,126.511252,机器学习 C/C++,[],月薪,34500.0
算法工程师,18-30K,本科,3-5年,苏文电能,常州,电力/热力/燃气/水利,1000-9999人,不需要融资,武进区,大学城,31.680787,119.968718,深度学习 大模型算法 大数据处理框架(Spark/Hadoop/Hive) 优秀开源项目经历 模型加速/性能优化 Python SQL,"['定期体检', '高温补贴', '节日福利', '带薪年假', '团建聚餐', '通讯补贴', '包吃', '交通补助', '餐补', '员工旅游', '免费工装', '补充医疗保险', '意外险', '绩效奖金', '年终奖', '生日福利', '五险一金', '有无线网', '包住']",月薪,24000.0
算法工程师,11-20K,本科,1-3年,乔安,深圳,计算机软件,1000-9999人,未融资,龙华区,民治,22.616942,114.030839,深度学习 C/C++ Python 算法工程化经验 LAMBIE数据标注 目标检测 yolov5/8 车载,"['带薪年假', '股票期权', '团建聚餐', '包住', '节日福利', '年终奖', '工龄奖', '宿舍有空调', '绩效奖金', '员工旅游', '通讯补贴', '五险一金', '加班餐']",月薪,15500.0
算法,9-13K,本科,1-3年,原力大数据,广州,大数据,20-99人,不需要融资,天河区,高唐,23.176035,113.401778,机器学习 深度学习 推荐/标签领域,"['五险一金', '零食下午茶', '带薪年假', '节日福利', '定期体检', '年终奖', '生日福利', '周末双休']",月薪,11000.0
语音合成算法,30-60K,本科,3-5年,浙江腾瞬科技有限公司,杭州,互联网,20-99人,不需要融资,西湖区,西溪,30.290273,120.116789,语音算法 tts 语音合成,"['法定节假日三薪', '五险一金', '带薪年假', '年终奖', '全勤奖']",月薪,45000.0
大模型算法,40-70K,本科,经验不限,某中型互联网人工智能平台公司,北京,互联网,100-499人,未融资,,,39.983459,116.326024,无,"['带薪年假', '交通补助', '餐补', '定期体检', '零食下午茶', '五险一金', '节日福利', '生日福利', '住房补贴', '团建聚餐']",月薪,55000.0
算法工程师,15-22K,本科,3-5年,杭州真至数智科技公司,杭州,计算机服务,100-499人,,西湖区,西溪,30.279034,120.145809,机器学习 图像算法 深度学习 自然语言处理算法 电力 负荷 其他 新能源 Python SQL,[],月薪,18500.0
搜索算法,30-50K,本科,3-5年,某中型互联网视觉设计公司,深圳,互联网,500-999人,不需要融资,,,22.511778,113.925738,搜索/信息检索算法经验,"['五险一金', '节日福利', '年终奖', '零食下午茶', '定期体检', '餐补']",月薪,40000.0
图像算法,2-3K,学历不限,经验不限,健飞科技,石家庄,人工智能,20-99人,不需要融资,高邑县,高邑县中心城区,37.612549,114.607407,数据标注 点云算法 其他 图像生成,"['底薪加提成', '保底工资']",月薪,2500.0
图像算法工程师,7-10K,本科,经验不限,安视智能,石家庄,计算机软件,20-99人,,鹿泉区,大学城,38.052823,114.345065,C++ 视觉图像算法 图像处理 OpenCV HALCON 图像分析 图像检测,"['五险一金', '通讯补贴', '交通补助', '员工宿舍']",月薪,8500.0
图像算法（工业缺陷检测方向）,10-15K,本科,3-5年,河北宇算科技有限公司,石家庄,计算机软件,20-99人,不需要融资,裕华区,育才,37.996639,114.513937,发表算法相关优秀论文 yolo 机器学习 深度学习 目标检测 工业/缺陷检测 图像处理库（OpenCV等） 缺陷识别 参加算法相关竞赛/获奖 Python,"['生日福利', '绩效奖金', '带薪年假', '五险一金', '节日福利']",月薪,12500.0
算法,11-17K,本科,3-5年,上海孜玮信息科技公司,南昌,互联网,100-499人,,红谷滩区,红角洲,28.690038,115.853104,无,[],月薪,14000.0
AI算法工程师,15-25K,本科,3-5年,河北华网计算机技术,石家庄,计算机软件,20-99人,,裕华区,开发区,38.034304,114.643304,深度学习 机器学习 强化学习 图像算法 自然语言处理算法 模型加速/性能优化 Python 大数据处理框架(Spark/Hadoop/Hive) Shell 优秀开源项目经历 算法工程化经验 参加算法相关竞赛/获奖 sklearn tensor pytorch,[],月薪,20000.0
算法工程师,22-35K,本科,3-5年,某中型通信网络设备上市公司,成都,通信/网络设备,100-499人,未融资,,,30.541204,104.071199,无,[],月薪,28500.0
算法工程师,7-10K,本科,经验不限,武汉墨光科技,武汉,计算机软件,20-99人,未融资,洪山区,关山,30.501631,114.414251,数学专业，优化算法，数值计算 MATLAB,"['节日福利', '全勤奖', '五险一金', '零食下午茶', '项目奖金']",月薪,8500.0
算法工程师,6-10K,本科,3-5年,中智慧聚,石家庄,培训/辅导机构,0-20人,未融资,桥西区,维明,37.99816,114.48735,深度学习 机器学习 大模型算法 规控算法 自然语言处理算法 多模态算法 C/C++ Python Java 算法工程化经验 发表算法相关优秀论文 优秀开源项目经历 关键词提取 知识图谱 文本分类,"['五险一金', '员工旅游', '定期体检', '年终奖']",月薪,8000.0
算法工程师,20-21K,本科,3-5年,广东星图链数字投...,广州,大数据,0-20人,不需要融资,黄埔区,中心城,23.174043,113.4837,深度学习 算法工程化经验 大模型算法,"['绩效奖金', '年终奖', '五险一金']",月薪,20500.0
图像算法,13-15K,本科,3-5年,才智英才教育科技,武汉,人工智能,100-499人,未融资,江夏区,光谷,30.472087,114.421426,深度学习 大模型算法 目标检测 多模态算法 图像生成 图像搜索 传统图像算法 图像处理库（OpenCV等） Java VisionPro 并行计算 嵌入式开发,"['员工旅游', '补充医疗保险', '底薪加提成', '绩效奖金', '工龄奖', '保底工资', '节日福利', '团建聚餐', '带薪年假', '零食下午茶', '年终奖', '有无线网', '五险一金']",月薪,14000.0
算法工程师,10-15K,本科,在校/应届,慧言科技,天津,计算机服务,20-99人,天使轮,西青区,张家窝,39.08051,117.094478,发表算法相关优秀论文 语音算法 Shell 机器学习 深度学习 大模型算法 自然语言处理算法 算法工程化经验 模型加速/性能优化 Python,"['餐补', '零食下午茶', '五险一金', '交通补助', '定期体检']",月薪,12500.0
图像算法工程师,20-40K,本科,5-10年,某大型自动化设备公司,石家庄,自动化设备,100-499人,A轮,,,38.036074,114.655787,VisionPro Python 图像处理库（OpenCV等） 机器学习 图像生成 传统图像算法 工业/缺陷检测 发表算法相关优秀论文 优秀开源项目经历,"['住房补贴', '绩效奖金', '包住', '团建聚餐', '定期体检', '生日福利', '免费工装', '餐补', '工龄奖', '节日福利', '宿舍有空调', '五险一金']",月薪,30000.0
自动驾驶算法工程师,10-15K,本科,3-5年,石家庄天远集团,石家庄,智能硬件,500-999人,不需要融资,裕华区,长江大道,38.04624,114.628613,机器学习 图像算法 Python C/C++ 算法工程化经验 团队管理经验 优秀开源项目经历 PID控制,[],月薪,12500.0
算法工程师,20-35K,本科,3-5年,中地数码,武汉,计算机软件,500-999人,未融资,江夏区,光谷,30.46439,114.40708,C/C++ 运筹优化算法 算法工程化经验 几何算法CG 优秀开源项目经历 建模算法,"['五险一金', '餐补', '年终奖', '节日福利', '通讯补贴', '定期体检', '带薪年假']",月薪,27500.0
图像算法,10-15K,本科,3-5年,同刻信息,长沙,人工智能,20-99人,,天心区,金盆岭,28.17264,112.973913,自我主动学习，沟通能力 Java 机器学习 深度学习 目标检测 大模型算法 图像处理库（OpenCV等） 目标跟踪 优秀开源项目经历 OCR Python,[],月薪,12500.0
算法工程师,15-25K,本科,1-3年,智宇互动,天津,游戏,20-99人,不需要融资,武清区,北郑,39.411437,117.04658,Java 多模态算法 自然语言处理算法 大模型算法 计算机相关专业 优秀开源项目经历 深度学习经验 OpenCV TensorFlow/PyTorch 机器学习算法/工程化经验 语音/图像识别 业务导向 Python,"['交通补助', '住房补贴', '五险一金', '餐补', '全勤奖', '绩效奖金', '定期体检', '通讯补贴']",月薪,20000.0
算法工程师,15-25K,本科,5-10年,博智林机器人,佛山,计算机软件,100-499人,未融资,顺德区,北滘,22.9248,113.279469,大模型算法 图像算法 C/C++ Python 嵌入式开发 算法工程化经验,"['宿舍有空调', '五险一金', '年终奖', '餐补', '带薪年假', '生日福利', '节日福利', '定期体检', '有无线网', '员工宿舍', '零食下午茶', '补充医疗保险']",月薪,20000.0
安全算法专家,28-40K,本科,经验不限,某大型国有计算机软件公司,上海,计算机软件,1000-9999人,未融资,,,31.126183,121.538131,无,"['节日福利', '定期体检', '带薪年假', '五险一金', '年终奖', '企业年金']",月薪,34000.0
控制算法,40-70K,本科,3-5年,合肥某中型自动化设备公司,北京,自动化设备,500-999人,未融资,,,39.788657,116.556525,控制算法,"['五险一金', '夜班补助', '带薪年假', '年终奖', '员工旅游', '免费班车', '交通补助', '定期体检', '意外险', '餐补', '通讯补贴', '补充医疗保险', '股票期权', '免费工装', '法定节假日三薪']",月薪,55000.0
ECC算法,40-60K,本科,3-5年,杭州某中型电子半导体集成电路上市公司,杭州,电子/半导体/集成电路,500-999人,已上市,,,30.207914,120.221051,C/C++ Python MATLAB,"['生日福利', '员工旅游', '补充医疗保险', '定期体检', '节日福利', '股票期权', '带薪年假', '年终奖', '团建聚餐', '高温补贴', '五险一金']",月薪,50000.0
推荐算法,25-45K,本科,3-5年,某大型知名互联网公司,深圳,互联网,10000人以上,不需要融资,,,22.552148,113.88767,无,"['五险一金', '零食下午茶', '股票期权', '节日福利', '餐补', '通讯补贴', '员工旅游', '全勤奖', '定期体检', '免费班车', '餐补', '带薪年假', '提供住宿', '交通补助', '住房补贴']",月薪,35000.0
算法工程师,7-12K,本科,3-5年,博天集团,石家庄,进出口贸易,100-499人,未融资,鹿泉区,铜冶镇,37.931144,114.400592,C/C++ 团队管理经验 机器学习 规控算法 图像算法 深度学习 算法工程化经验 通信算法 SLAM算法 嵌入式开发 优秀开源项目经历,"['有无线网', '绩效奖金', '全勤奖', '保底工资', '工龄奖', '五险', '零食下午茶', '带薪年假', '餐补', '年终奖']",月薪,9500.0
图像算法,20-40K,本科,3-5年,某大型人力资源服务公司,杭州,人力资源服务,1000-9999人,A轮,,,30.460327,120.24457,机器学习 ISP/3A算法 C/C++,"['员工旅游', '节日福利', '五险一金', '定期体检', '底薪加提成', '生日福利', '年终奖', '保底工资', '零食下午茶', '带薪年假', '绩效奖金']",月薪,30000.0
算法工程师,20-25K,本科,1-3年,某自动化设备公司,合肥,自动化设备,20-99人,A轮,,,31.841098,117.211182,机器学习 传统图像算法 C/C++ 图像处理库（OpenCV等）,"['住房补贴', '节日福利', '五险一金', '带薪年假', '年终奖', '零食下午茶', '全勤奖', '员工旅游', '股票期权', '交通补助', '补充医疗保险', '包吃', '定期体检', '餐补', '加班补助']",月薪,22500.0
算法,22-25K,本科,经验不限,成都某中型互联网无人机系统公司,成都,互联网,100-499人,A轮,,,30.557822,104.044816,C/C++ Python Java,"['五险一金', '定期体检', '全勤奖', '带薪年假', '节日福利', '零食下午茶']",月薪,23500.0
算法工程师,15-25K,本科,3-5年,某中型通信/网络设备公司,长沙,通信/网络设备,100-499人,不需要融资,,,28.228849,112.879553,C/C++ 深度学习 通信算法 MATLAB 信号算法,"['年终奖', '意外险', '团建聚餐', '五险一金', '带薪年假', '生日福利', '零食下午茶', '节日福利', '定期体检']",月薪,20000.0
算法工程师,10-15K,本科,在校/应届,拟像动力,上海,智能硬件,0-20人,天使轮,浦东新区,张江,31.17755,121.60324,强化学习 大模型算法 机器学习 深度学习 自然语言处理算法 语音算法 图像算法 Python C/C++ 大数据处理框架(Spark/Hadoop/Hive),[],月薪,12500.0
大模型算法,20-25K,本科,经验不限,某中型汽车零部件公司,天津,汽车零部件,100-499人,,,,39.057003,117.732243,无,[],月薪,22500.0
语音算法,9-10K,大专,1-3年,编钟科技,石家庄,计算机软件,0-20人,,藁城区,开发区,38.023349,114.685093,无,[],月薪,9500.0
算法工程师,12-18K,本科,3-5年,合肥客外网络信息技术,合肥,计算机软件,20-99人,未融资,蜀山区,井岗,31.831769,117.139092,深度学习 机器学习 图像算法 C/C++ Python,"['生日福利', '节日福利', '带薪年假', '零食下午茶', '企业年金', '团建聚餐', '餐补', '股票期权', '绩效奖金', '年终奖', '五险一金']",月薪,15000.0
算法开发,25-35K,本科,3-5年,某中型汽车研发/制造公司,西安,汽车研发/制造,100-499人,,,,34.466264,108.996912,端对端决策大模型 深度学习 自动驾驶 机器学习,[],月薪,30000.0
算法工程师,10-15K,本科,3-5年,吉客印,郑州,电子商务,1000-9999人,,中原区,五龙口,34.793941,113.600255,Java C++ Python 算法设计 深度学习算法 机器学习算法 推荐算法 GBDT,"['股票期权', '绩效奖金', '年终奖', '补充医疗保险', '零食下午茶', '带薪年假', '一对一辅导', '生日福利', '底薪加提成', '节日福利', '五险一金', '团建聚餐']",月薪,12500.0
算法工程师,20-30K,本科,3-5年,某知名机械设备公司,合肥,机械设备/机电/重工,1000-9999人,未融资,,,31.793885,117.156967,C/C++ 深度学习 传统图像算法,"['宿舍有空调', '团建聚餐', '定期体检', '员工旅游', '年终奖', '包住', '五险一金', '全勤奖', '加班补助', '保底工资', '绩效奖金', '带薪年假', '免费工装', '工龄奖', '法定节假日三薪', '底薪加提成', '住房补贴', '节假日加班费', '包吃', '节日福利']",月薪,25000.0
图像算法,3-5K,本科,1-3年,和合演艺,昆明,文化艺术/娱乐,20-99人,不需要融资,五华区,红云,25.113124,102.714768,深度学习 大模型算法 其他 多模态算法 图像生成 人像算法 三维重建 传统图像算法 图像处理库（OpenCV等） 分布式训练 模型加速/性能优化 优秀开源项目经历,"['通讯补贴', '零食下午茶', '加班补助', '餐补', '住房补贴', '年终奖', '节日福利', '员工旅游', '交通补助', '带薪年假']",月薪,4000.0
图像算法,6-11K,本科,经验不限,东方印象影业,大连,广播/影视,20-99人,不需要融资,金州区,开发区,39.04709,121.764659,深度学习 大模型算法 图像生成 图像搜索 传统图像算法 嵌入式开发 分布式训练 参加算法相关竞赛/获奖 模型加速/性能优化 接受实习/在校生投递,"['全勤奖', '零食下午茶', '五险一金', '住房补贴', '定期体检', '年终奖', '餐补', '节日福利', '带薪年假', '交通补助', '员工旅游', '通讯补贴', '加班补助']",月薪,8500.0
数据分析师,6-11K,大专,1-3年,甘肃昕达农商贸,兰州,互联网金融,20-99人,,城关区,张掖路,36.061518,103.824569,无,[],月薪,8500.0
数据分析师,3-5K,大专,1年以内,定西鑫广网络科技,定西,电子商务,0-20人,,安定区,安定区中心城区,35.604306,104.592885,无,"['节日福利', '团建聚餐', '加班补助', '全勤奖', '有无线网', '绩效奖金']",月薪,4000.0
双休数据分析师,5-10K,学历不限,经验不限,山东正奇,济南,证券/期货,20-99人,,历下区,高新万达广场,36.686133,117.13037,无,"['生日福利', '底薪加提成', '全勤奖', '保底工资', '通讯补贴', '绩效奖金', '有无线网', '节日福利']",月薪,7500.0
数据分析师,5-10K,本科,经验不限,泉州市丰泽区众鼎...,泉州,电子商务,20-99人,,丰泽区,星光不夜城及周边,24.882497,118.60893,无,"['有无线网', '底薪加提成', '绩效奖金']",月薪,7500.0
数据分析师,4-9K,大专,1-3年,捷龙网络,六盘水,互联网,0-20人,,钟山区,钟山大道,26.585974,104.847992,计算机相关专业 数据分析/挖掘经验 金融行业数据相关经验,[],月薪,6500.0
数据分析师,7-12K,大专,经验不限,章贡区唯源信息咨...,赣州,在线教育,20-99人,,章贡区,万象城,25.816,114.927,无,"['生日福利', '底薪加提成', '保底工资', '带薪年假', '零食下午茶', '全勤奖', '绩效奖金', '员工旅游', '团建聚餐', '五险一金', '有无线网', '节日福利', '节假日加班费']",月薪,9500.0
数据分析师,5-6K,中专/中技,1年以内,上海维音,德州,企业服务,10000人以上,不需要融资,德城区,体育中心,37.450311,116.35627,无,"['餐补', '通讯补贴', '五险一金', '全勤奖', '节日福利', '交通补助', '零食下午茶', '员工旅游', '补充医疗保险', '绩效奖金', '年终奖', '定期体检', '住房补贴', '免费班车']",月薪,5500.0
数据分析师,10-11K,本科,经验不限,海州区金蕾火花儿...,连云港,培训/辅导机构,20-99人,,海州区,朝阳路,34.58912,119.208697,照做，听话,[],月薪,10500.0
数据分析师,4-8K,学历不限,经验不限,涡阳浪里淘金网络...,亳州,互联网,20-99人,,涡阳县,淮中大道,33.497168,116.211719,无,"['意外险', '底薪加提成', '绩效奖金', '保底工资']",月薪,6000.0
数据分析师,2-5K,大专,1年以内,长治鑫怡科技有限公司,长治,大数据,0-20人,不需要融资,潞州区,景家庄,36.213181,113.149437,无,"['全勤奖', '法定节假日三薪', '节假日加班费']",月薪,3500.0
数据分析师,3-6K,初中及以下,经验不限,汕尾市龙创科技,汕尾,大数据,20-99人,未融资,海丰县,城东,22.975563,115.358784,数据分析/挖掘经验,"['节假日加班费', '底薪加提成']",月薪,4500.0
数据分析师,2-3K,初中及以下,1年以内,大同市辰杰商贸,大同,互联网,0-20人,,平城区,火车站,40.118835,113.300264,计算机相关专业,[],月薪,2500.0
数据分析师,7-9K,大专,1-3年,美力时光健身,佛山,运动/健身,20-99人,不需要融资,禅城区,祖庙,23.0185,113.124019,数据分析/挖掘经验 计算机相关专业 SQL Python,"['五险一金', '员工旅游', '生日福利', '团建聚餐', '全勤奖', '年终奖', '定期体检', '节日福利']",月薪,8000.0
数据分析师,6-11K,高中,1-3年,永祥贸易,广州,互联网,20-99人,,天河区,天河北,23.126038,113.321907,现货交易，互联网金融，时间自由,[],月薪,8500.0
数据分析师,5-7K,大专,1-3年,润佳,潍坊,互联网,20-99人,不需要融资,奎文区,潍坊学院,36.714658,119.14736,数据分析/挖掘经验,"['夜班补助', '五险', '保底工资', '绩效奖金', '有无线网', '底薪加提成', '宿舍有空调', '提供住宿']",月薪,6000.0
数据分析师,10-15K,大专,1-3年,壹度便利,淮北,食品/饮料/烟酒,500-999人,已上市,相山区,隋唐古镇,33.945554,116.800356,无,"['带薪年假', '加班补助', '餐补', '节日福利', '员工旅游', '年终奖', '定期体检', '补充医疗保险', '五险一金']",月薪,12500.0
数据分析师,11-22K,本科,1-3年,南京熙邦信息科技,南京,互联网,20-99人,天使轮,雨花台区,安德门,31.972578,118.751619,SQL Python 数学/统计相关专业 计算机相关专业,[],月薪,16500.0
数据分析师,4-8K,高中,1-3年,四川澳游商贸有限公司,宜宾,移动互联网,20-99人,不需要融资,翠屏区,邦泰国际,28.793972,104.678121,国际机票 系统操作 数据分析,"['五险一金', '补充医疗保险', '底薪加提成', '包住', '意外险']",月薪,6000.0
数据分析师,4-9K,中专/中技,经验不限,重庆嘉利鸣贸易,重庆,互联网,20-99人,未融资,渝中区,渝州路,29.538159,106.512214,数据分析/挖掘经验 计算机相关专业 数学/统计相关专业,"['员工旅游', '年终奖', '全勤奖', '底薪加提成', '绩效奖金', '团建聚餐']",月薪,6500.0
储备干部（管见生）IT员、数据分析员,5-8K,本科,经验不限,博岳通信,石家庄,互联网,10000人以上,已上市,裕华区,开发区,38.022997,114.618695,缴纳五险,"['工龄工资', '五险', '团建聚餐', '节日福利', '夜班补助', '法定节假日三薪', '零食下午茶', '股票期权', '带薪年假', '生日福利', '全勤奖', '岗位晋升', '员工旅游', '通讯补贴']",月薪,6500.0
数据分析师,4-8K,大专,在校/应届,贵州深度未来网络科技,黔东南苗族侗族自治州,互联网,20-99人,未融资,凯里市,友庄路,26.572093,107.97574,无,"['生日福利', '节日福利', '底薪加提成', '绩效奖金']",月薪,6000.0
饿了么数据分析师,4-9K,大专,经验不限,四川文浪科技有限公司,绵阳,即时配送,100-499人,,涪城区,人民公园,31.463782,104.742665,SQL Tableau Power BI 数学/统计相关专业,[],月薪,6500.0
数据分析师,10-12K,本科,1-3年,慧博云通,北京,计算机软件,1000-9999人,已上市,海淀区,马连洼,40.0674,116.274953,数据运营 Hive Power BI 互联网 Tableau 网约车 SQL 经营分析 策略运营,"['补充医疗保险', '节日福利', '带薪年假', '股票期权', '加班补助', '年终奖', '五险一金', '定期体检']",月薪,11000.0
数据分析师,5-8K,大专,1-3年,湖州周骏餐饮管理,湖州,餐饮,20-99人,未融资,吴兴区,爱山广场,30.880902,120.101148,无,"['保底工资', '绩效奖金']",月薪,6500.0
数据分析师,6-10K,本科,1-3年,易邦团,凉山彝族自治州,电子商务,20-99人,,西昌市,龙眼井,27.884494,102.236737,数学/统计相关专业 计算机相关专业 数据分析/挖掘经验 电商/零售行业数据相关经验 金融行业数据相关经验,[],月薪,8000.0
数据分析员/数据分析师,8-10K,本科,1-3年,元大粮油,襄阳,食品/饮料/烟酒,100-499人,不需要融资,襄州区,时代天街,32.102956,112.206367,数学/统计相关专业,"['包住', '节日福利', '全勤奖', '底薪加提成', '包吃', '宿舍有空调', '交通补助', '补充医疗保险', '有无线网', '员工旅游', '五险', '工龄奖', '通讯补贴', '高温补贴', '保底工资']",月薪,9000.0
数据分析师,3-8K,大专,经验不限,日照彩通网络科技公司,日照,互联网,100-499人,未融资,东港区,大学城,35.449743,119.566086,无,"['五险一金', '保底工资', '包住', '加班补助', '有无线网', '绩效奖金', '底薪加提成', '全勤奖']",月薪,5500.0
数据分析师 (MJ007851),12-24K,本科,1-3年,货拉拉科技,深圳,互联网,10000人以上,D轮及以上,福田区,梅林,22.573133,114.061104,SQL 数据分析/挖掘经验 专题分析 商业分析 异动分析 专项分析 经营分析,"['交通补助', '零食下午茶', '带薪年假', '五险一金', '定期体检', '节日福利', '免费工装', '员工旅游', '年终奖', '加班补助', '团建聚餐']",月薪,18000.0
数据分析师,15-25K,本科,3-5年,上海敬游,上海,游戏,500-999人,不需要融资,浦东新区,张江,31.197805,121.587505,Python 数学/统计相关专业 机器学习建模经验 数据分析/挖掘经验,"['五险一金', '年终奖', '餐补']",月薪,20000.0
数据分析师,2-5K,高中,在校/应届,邯郸鲲泰信息技术,邯郸,互联网,0-20人,,临漳县,临漳县中心城区,36.334016,114.608524,计算机相关专业 数据分析/挖掘经验,[],月薪,3500.0
数据分析师,4-6K,本科,3-5年,瀚中睿方数据科技,安康,计算机软件,20-99人,天使轮,汉滨区,高新区,32.699416,108.986847,数学/统计相关专业 火炬统计 政府 普查,"['员工旅游', '五险一金', '带薪年假', '餐补', '节日福利']",月薪,5000.0
